,fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,sulphates,alcohol,quality,alcohol_higher,va_high
345,7.0,0.685,0.0,0.067,63.0,0.9979,0.81,9.9,5,0,1
1395,8.6,0.685,0.1,0.092,12.0,0.99745,0.65,9.55,6,0,1
997,5.6,0.66,0.0,0.087,11.0,0.99378,0.63,12.8,7,1,1
384,7.7,0.51,0.28,0.087,54.0,0.998,0.74,9.2,5,0,0
405,8.7,0.31,0.46,0.059,25.0,0.9966,0.76,10.1,6,0,0
1418,7.8,0.53,0.01,0.077,19.0,0.995,0.46,9.8,5,0,0
1382,8.0,0.6,0.22,0.08,105.0,0.99613,0.49,9.9,5,0,1
139,7.8,0.56,0.19,0.081,108.0,0.9962,0.54,9.5,5,0,0
657,12.0,0.5,0.59,0.073,42.0,0.998,0.68,10.5,7,0,0
1343,7.5,0.51,0.02,0.084,31.0,0.99538,0.54,10.5,6,0,0
1322,9.1,0.34,0.42,0.058,18.0,0.99392,0.55,11.4,5,0,0
471,9.6,0.54,0.42,0.081,52.0,0.997,0.71,11.4,6,0,0
1461,6.2,0.785,0.0,0.06,13.0,0.99664,0.61,10.0,4,0,1
590,9.0,0.45,0.49,0.084,75.0,0.9987,0.57,9.7,5,0,0
1516,6.1,0.32,0.25,0.071,58.0,0.99633,0.97,10.6,5,0,0
296,10.6,0.83,0.37,0.086,70.0,0.9981,0.52,9.9,5,0,1
347,13.8,0.49,0.67,0.093,15.0,0.9986,0.93,12.0,6,1,0
423,10.5,0.24,0.47,0.066,24.0,0.9978,0.9,11.0,7,0,0
1053,8.3,0.33,0.42,0.07,20.0,0.99426,0.77,12.7,7,1,0
593,9.9,0.49,0.58,0.094,43.0,1.0004,0.58,9.0,5,0,0
76,8.8,0.41,0.64,0.093,42.0,0.9986,0.66,10.5,5,0,0
1571,6.4,0.38,0.14,0.038,25.0,0.99514,0.65,11.1,6,0,0
683,8.1,0.78,0.23,0.059,15.0,0.997,0.56,11.3,5,0,1
844,9.9,0.25,0.46,0.062,42.0,0.9959,0.83,10.6,6,0,0
823,6.7,0.54,0.13,0.076,36.0,0.9973,0.64,9.8,5,0,0
1540,6.2,0.52,0.08,0.071,32.0,0.99646,0.63,11.6,6,1,0
427,9.5,0.78,0.22,0.077,32.0,0.9988,0.56,10.6,6,0,1
746,8.2,0.34,0.38,0.08,57.0,0.9978,0.47,9.0,6,0,0
611,13.2,0.38,0.55,0.081,16.0,1.0006,0.54,9.4,5,0,0
1585,7.2,0.39,0.44,0.066,48.0,0.99494,0.84,11.5,6,0,0
1225,9.2,0.46,0.23,0.091,77.0,0.99922,0.51,9.4,5,0,0
72,7.7,0.69,0.22,0.084,94.0,0.9961,0.48,9.5,5,0,1
1092,7.0,0.54,0.09,0.081,16.0,0.99479,0.59,11.5,6,0,0
709,9.7,0.31,0.47,0.062,33.0,0.9983,0.66,10.0,6,0,0
445,9.5,0.735,0.1,0.079,31.0,0.9986,0.56,10.1,6,0,1
907,6.1,0.56,0.0,0.079,9.0,0.9948,0.54,11.5,6,0,0
946,10.2,0.44,0.58,0.092,24.0,0.99745,0.99,12.0,7,1,0
123,8.0,0.71,0.0,0.08,34.0,0.9976,0.53,9.5,5,0,1
1184,6.7,0.64,0.23,0.08,119.0,0.99538,0.7,10.9,5,0,1
857,8.2,0.26,0.34,0.073,47.0,0.99594,0.78,11.3,7,0,0
783,6.5,0.46,0.14,0.114,37.0,0.99732,0.65,9.8,5,0,0
1127,6.3,0.76,0.0,0.072,52.0,0.99379,0.6,11.5,6,0,1
701,7.0,0.65,0.02,0.066,25.0,0.9972,0.67,9.5,6,0,1
1544,8.4,0.37,0.43,0.063,19.0,0.9955,0.81,11.2,7,0,0
773,7.9,0.4,0.29,0.157,44.0,0.9973,0.92,9.5,6,0,0
164,7.3,0.59,0.26,0.07,121.0,0.9981,0.49,9.4,5,0,0
943,9.8,0.5,0.34,0.094,45.0,0.99864,0.6,9.7,7,0,0
450,11.9,0.39,0.69,0.095,35.0,0.9994,0.61,10.8,6,0,0
1479,8.2,0.28,0.6,0.104,22.0,0.99828,0.68,10.6,5,0,0
817,10.8,0.29,0.42,0.084,27.0,0.99545,0.73,11.9,6,1,0
415,8.6,0.725,0.24,0.117,134.0,1.0014,1.07,9.3,5,0,1
1340,7.5,0.51,0.02,0.084,31.0,0.99538,0.54,10.5,6,0,0
687,9.1,0.64,0.23,0.095,38.0,0.9998,0.59,9.7,5,0,1
0,7.4,0.7,0.0,0.076,34.0,0.9978,0.56,9.4,5,0,1
8,7.8,0.58,0.02,0.073,18.0,0.9968,0.57,9.5,7,0,0
1247,7.4,0.55,0.19,0.082,34.0,0.99655,0.68,10.5,5,0,0
336,8.9,0.43,0.45,0.052,16.0,0.9948,0.7,12.5,6,1,0
1378,7.2,0.45,0.15,0.078,28.0,0.99609,0.51,9.9,6,0,0
351,9.1,0.795,0.0,0.096,26.0,0.9994,0.83,9.4,6,0,1
488,11.6,0.32,0.55,0.081,67.0,1.0002,0.92,10.8,7,0,0
925,8.6,0.22,0.36,0.064,77.0,0.99604,0.87,11.0,7,0,0
763,9.3,0.655,0.26,0.096,35.0,0.99738,0.42,9.6,5,0,1
128,8.0,0.59,0.16,0.065,16.0,0.9962,0.92,10.5,7,0,0
429,12.8,0.84,0.63,0.088,35.0,0.9997,0.6,10.4,6,0,1
1562,7.2,0.695,0.13,0.076,20.0,0.99546,0.54,10.1,5,0,1
965,8.3,0.34,0.4,0.065,48.0,0.99554,0.86,11.0,6,0,0
778,8.3,0.43,0.3,0.079,34.0,0.99788,0.61,10.5,5,0,0
1128,10.0,0.43,0.33,0.095,89.0,0.9984,0.68,10.0,5,0,0
96,6.8,0.775,0.0,0.102,23.0,0.9965,0.56,10.7,5,0,1
549,9.0,0.53,0.49,0.171,25.0,0.9975,0.61,9.4,6,0,0
175,6.9,0.5,0.04,0.085,49.0,0.9958,0.78,9.5,5,0,0
1350,9.0,0.6,0.29,0.069,73.0,0.99654,0.57,10.0,5,0,1
198,5.4,0.835,0.08,0.046,93.0,0.9924,0.85,13.0,7,1,1
1,7.8,0.88,0.0,0.098,67.0,0.9968,0.68,9.8,5,0,1
1357,7.3,0.43,0.24,0.078,67.0,0.99648,0.59,11.1,6,0,0
1317,9.9,0.44,0.46,0.091,41.0,0.99638,0.69,11.9,6,1,0
1427,7.6,0.41,0.33,0.078,23.0,0.9957,0.58,11.2,5,0,0
1559,7.8,0.6,0.26,0.08,131.0,0.99622,0.52,9.9,5,0,1
1204,7.2,0.36,0.46,0.074,44.0,0.99534,0.85,11.0,7,0,0
361,8.6,0.45,0.31,0.086,50.0,0.9982,0.91,9.9,6,0,0
880,9.2,0.56,0.18,0.078,21.0,0.99576,0.49,9.9,5,0,0
1049,9.3,0.5,0.36,0.084,17.0,0.99704,0.77,10.8,6,0,0
83,7.3,0.67,0.26,0.401,51.0,0.9969,1.14,9.4,5,0,1
229,6.9,0.52,0.25,0.081,37.0,0.99685,0.5,11.0,5,0,0
1314,7.0,0.36,0.21,0.086,69.0,0.99556,0.53,10.1,6,0,0
976,7.2,0.41,0.3,0.083,72.0,0.997,0.52,9.4,5,0,0
865,7.2,0.635,0.07,0.077,86.0,0.99748,0.54,9.7,5,0,1
953,10.2,0.34,0.48,0.052,9.0,0.99458,0.69,12.1,7,1,0
1171,7.1,0.59,0.0,0.078,44.0,0.99522,0.68,10.8,6,0,0
753,8.3,0.65,0.1,0.089,40.0,0.99803,0.55,9.5,5,0,1
1076,9.9,0.32,0.56,0.073,8.0,0.99534,0.73,11.4,6,0,0
1298,5.7,0.6,0.0,0.063,18.0,0.99191,0.56,12.2,6,1,1
1454,11.7,0.45,0.63,0.073,23.0,0.99974,0.69,10.9,6,0,0
1324,6.7,0.46,0.24,0.077,34.0,0.9948,0.6,10.6,6,0,0
736,7.7,0.965,0.1,0.112,22.0,0.9963,0.5,9.5,5,0,1
503,10.5,0.26,0.47,0.078,24.0,0.9976,1.04,10.9,7,0,0
1396,8.7,0.675,0.1,0.09,11.0,0.99745,0.65,9.55,5,0,1
1524,6.0,0.42,0.19,0.075,47.0,0.99522,0.78,10.0,6,0,0
1379,7.5,0.57,0.02,0.077,35.0,0.99557,0.62,10.8,6,0,0
238,7.2,0.63,0.0,0.097,38.0,0.99675,0.58,9.0,6,0,1
1253,7.9,0.66,0.0,0.096,13.0,0.99569,0.58,9.5,5,0,1
1248,6.9,0.41,0.33,0.081,36.0,0.9949,0.75,11.1,6,0,0
1584,6.7,0.32,0.44,0.061,34.0,0.99484,0.8,11.6,7,1,0
757,8.1,0.87,0.0,0.084,31.0,0.99656,0.5,9.8,5,0,1
1335,6.6,0.58,0.02,0.069,40.0,0.99387,0.66,12.6,6,1,0
1005,6.8,0.36,0.32,0.067,8.0,0.9928,0.55,12.8,7,1,0
647,8.3,0.845,0.01,0.07,14.0,0.9967,0.58,11.0,4,0,1
218,7.5,0.49,0.19,0.076,44.0,0.9957,0.54,9.7,5,0,0
420,9.5,0.56,0.33,0.089,67.0,0.9972,0.73,11.8,7,1,0
728,6.4,0.57,0.02,0.067,11.0,0.997,0.68,9.5,5,0,0
15,8.9,0.62,0.19,0.17,148.0,0.9986,0.93,9.2,5,0,1
720,8.4,0.56,0.04,0.082,22.0,0.9976,0.44,9.6,5,0,0
826,7.5,0.27,0.34,0.05,8.0,0.9951,0.64,11.0,7,0,0
1110,8.3,0.53,0.0,0.07,14.0,0.99593,0.64,10.0,6,0,0
134,7.9,1.04,0.05,0.084,29.0,0.9959,0.55,9.9,6,0,1
1561,7.8,0.6,0.26,0.08,131.0,0.99622,0.52,9.9,5,0,1
1106,8.2,0.23,0.42,0.069,17.0,0.99376,0.54,12.3,6,1,0
353,13.5,0.53,0.79,0.12,77.0,1.0018,0.77,13.0,5,1,0
363,12.5,0.46,0.63,0.071,15.0,0.9988,0.87,10.2,5,0,0
57,7.5,0.63,0.12,0.111,110.0,0.9983,0.77,9.4,5,0,1
254,7.1,0.6,0.0,0.074,34.0,0.9972,0.7,9.9,6,0,1
1138,7.5,0.41,0.15,0.104,94.0,0.99786,0.58,9.1,5,0,0
1135,8.0,0.25,0.43,0.067,50.0,0.9946,0.6,11.9,6,1,0
1271,7.3,0.44,0.2,0.049,64.0,0.9935,0.57,11.7,6,1,0
1187,7.0,0.43,0.3,0.085,39.0,0.99346,0.46,11.9,6,1,0
599,12.7,0.59,0.45,0.082,22.0,1.0,0.7,9.3,6,0,0
571,6.2,0.36,0.24,0.095,42.0,0.9946,0.57,11.7,6,1,0
1348,7.2,0.655,0.03,0.078,12.0,0.99587,0.39,9.5,5,0,1
125,9.0,0.62,0.04,0.146,90.0,0.9984,0.7,9.4,5,0,1
410,9.0,0.43,0.34,0.08,86.0,0.9987,0.62,9.5,6,0,0
458,10.4,0.33,0.63,0.084,22.0,0.9998,0.74,11.2,7,0,0
909,7.3,0.305,0.39,0.059,11.0,0.99331,0.52,11.5,6,0,0
178,7.0,0.805,0.0,0.068,20.0,0.9969,0.56,9.6,5,0,1
1122,6.3,0.47,0.0,0.055,33.0,0.9922,0.48,12.3,6,1,0
616,9.6,0.6,0.5,0.079,71.0,0.9997,0.57,9.7,5,0,1
1391,8.0,0.64,0.22,0.094,33.0,0.99612,0.58,11.0,5,0,1
388,7.8,0.46,0.26,0.088,53.0,0.9981,0.74,9.2,6,0,0
1207,9.9,0.72,0.55,0.136,52.0,0.99752,0.94,10.0,5,0,1
959,8.0,0.59,0.05,0.089,32.0,0.99735,0.61,10.0,5,0,0
1451,7.8,0.32,0.44,0.104,17.0,0.99732,0.78,11.0,7,0,0
1237,7.1,0.75,0.01,0.059,18.0,0.99242,0.4,12.8,6,1,1
513,10.5,0.51,0.64,0.107,15.0,0.9973,0.66,11.8,7,1,0
449,11.9,0.39,0.69,0.095,35.0,0.9994,0.61,10.8,6,0,0
932,7.6,0.4,0.29,0.078,66.0,0.9971,0.59,9.5,6,0,0
713,8.0,0.43,0.36,0.075,48.0,0.9976,0.46,9.4,5,0,0
307,10.3,0.41,0.42,0.213,14.0,0.9994,0.62,9.5,6,0,0
698,9.4,0.615,0.28,0.087,72.0,1.0001,0.53,9.7,5,0,1
775,7.2,1.0,0.0,0.102,16.0,0.99586,0.46,10.0,5,0,1
1430,7.4,0.41,0.24,0.066,47.0,0.9956,0.62,10.4,5,0,0
29,7.8,0.645,0.0,0.082,16.0,0.9964,0.59,9.8,6,0,1
245,7.3,0.66,0.0,0.084,23.0,0.9983,0.96,9.9,6,0,1
1595,5.9,0.55,0.1,0.062,51.0,0.99512,0.76,11.2,6,0,0
1192,7.2,0.25,0.37,0.063,41.0,0.99439,0.8,12.4,7,1,0
152,7.5,0.6,0.03,0.095,99.0,0.995,0.54,10.1,5,0,1
1219,9.0,0.39,0.4,0.044,50.0,0.99478,0.83,10.9,6,0,0
443,10.0,0.44,0.49,0.077,19.0,0.9963,0.63,11.6,7,1,0
1374,6.8,0.815,0.0,0.267,29.0,0.99471,0.51,9.8,3,0,1
676,10.8,0.4,0.41,0.084,17.0,0.9984,0.67,9.3,6,0,0
1222,8.1,0.53,0.22,0.078,89.0,0.99678,0.46,9.6,6,0,0
124,7.8,0.5,0.17,0.082,102.0,0.996,0.48,9.5,5,0,0
934,6.6,0.61,0.01,0.08,25.0,0.99746,0.73,10.5,5,0,1
1442,6.9,0.63,0.02,0.078,30.0,0.99712,0.75,9.8,5,0,1
357,10.5,0.42,0.66,0.116,29.0,0.997,0.75,11.7,7,1,0
454,7.0,0.23,0.4,0.063,67.0,0.9952,0.63,11.1,5,0,0
1277,7.0,0.69,0.0,0.114,10.0,0.99636,0.6,9.7,6,0,1
1073,8.0,0.62,0.33,0.088,37.0,0.9972,0.58,10.7,6,0,1
333,8.4,0.56,0.08,0.105,44.0,0.9958,0.52,11.0,5,0,0
1511,7.1,0.69,0.04,0.068,27.0,0.99712,0.67,9.8,5,0,1
944,8.3,0.3,0.49,0.09,24.0,0.99498,0.64,12.1,7,1,0
1284,7.0,0.42,0.19,0.071,36.0,0.99476,0.56,10.9,5,0,0
1303,8.0,0.28,0.44,0.081,68.0,0.99501,0.66,11.2,5,0,0
642,9.9,0.54,0.45,0.071,40.0,0.9991,0.62,9.4,5,0,0
1097,8.6,0.52,0.38,0.096,18.0,0.99666,0.52,9.4,5,0,0
1239,6.5,0.67,0.0,0.057,20.0,0.99488,0.56,11.8,4,1,1
274,7.5,0.65,0.18,0.088,94.0,0.99915,0.77,9.4,5,0,1
1082,7.2,0.38,0.3,0.073,70.0,0.99685,0.59,9.5,6,0,0
153,7.5,0.6,0.03,0.095,99.0,0.995,0.54,10.1,5,0,1
1353,7.6,0.645,0.03,0.086,57.0,0.9969,0.46,10.3,5,0,1
1578,6.8,0.67,0.15,0.118,20.0,0.9954,0.67,11.3,6,0,1
1137,10.4,0.52,0.45,0.08,13.0,0.99774,0.76,11.4,6,0,0
1060,11.6,0.23,0.57,0.074,8.0,0.9981,0.7,9.9,6,0,0
301,11.1,0.18,0.48,0.068,15.0,0.9973,0.64,10.1,6,0,0
868,6.8,0.56,0.22,0.074,24.0,0.99438,0.82,11.2,6,0,0
898,8.3,0.31,0.39,0.078,43.0,0.99444,0.77,12.5,7,1,0
1399,7.2,0.67,0.0,0.068,24.0,0.9956,0.72,11.1,6,0,1
849,6.4,0.63,0.21,0.08,32.0,0.99689,0.66,9.8,5,0,1
1162,8.5,0.32,0.42,0.075,19.0,0.99434,0.71,11.8,7,1,0
162,7.8,0.53,0.04,0.076,31.0,0.9964,0.56,10.0,6,0,0
994,10.0,0.35,0.45,0.092,88.0,0.99918,0.43,9.4,5,0,0
1387,7.4,0.64,0.07,0.1,23.0,0.9961,0.58,9.6,5,0,1
133,6.6,0.5,0.01,0.06,26.0,0.9952,0.58,9.8,6,0,0
1594,6.2,0.6,0.08,0.09,44.0,0.9949,0.58,10.5,5,0,1
1047,7.1,0.43,0.17,0.082,51.0,0.99634,0.64,10.4,5,0,0
1423,6.4,0.53,0.09,0.123,31.0,0.9968,0.67,11.0,4,0,0
255,8.0,0.57,0.23,0.073,119.0,0.99675,0.57,9.3,5,0,0
147,7.6,0.49,0.26,0.236,88.0,0.9968,0.8,9.3,5,0,0
161,7.6,0.68,0.02,0.072,20.0,0.9965,1.08,9.2,4,0,1
368,10.3,0.34,0.52,0.159,75.0,0.9998,0.64,9.4,5,0,0
573,10.5,0.59,0.49,0.07,47.0,0.9991,0.56,9.6,4,0,0
1209,6.2,0.39,0.43,0.071,24.0,0.99428,0.87,11.2,7,0,0
43,8.1,0.66,0.22,0.069,23.0,0.9968,1.2,10.3,5,0,1
4,7.4,0.7,0.0,0.076,34.0,0.9978,0.56,9.4,5,0,1
84,6.3,0.3,0.48,0.069,61.0,0.9959,0.78,10.3,6,0,0
116,8.3,0.54,0.28,0.077,40.0,0.9978,0.61,10.0,6,0,0
1326,6.7,0.46,0.24,0.077,34.0,0.9948,0.6,10.6,6,0,0
208,7.8,0.44,0.28,0.1,95.0,0.9966,0.67,9.4,5,0,0
1349,6.9,0.57,0.0,0.081,41.0,0.99518,0.52,10.8,5,0,0
1439,7.3,0.67,0.02,0.072,92.0,0.99566,0.68,11.0666666666667,6,0,1
1368,8.0,0.77,0.32,0.079,74.0,0.99656,0.5,9.8,6,0,1
328,13.4,0.27,0.62,0.082,21.0,1.0002,0.67,9.7,6,0,0
47,8.7,0.29,0.52,0.113,37.0,0.9969,0.58,9.5,5,0,0
1177,7.1,0.66,0.0,0.052,11.0,0.99318,0.66,12.7,7,1,1
1351,7.2,0.62,0.01,0.065,46.0,0.99332,0.51,11.8,6,1,1
924,8.6,0.47,0.27,0.055,28.0,0.99516,0.8,11.2,5,0,0
686,7.1,0.65,0.18,0.07,40.0,0.997,0.6,9.1,5,0,1
1294,8.2,0.635,0.1,0.073,60.0,0.99638,0.75,10.9,6,0,1
801,8.6,0.55,0.09,0.068,17.0,0.99735,0.44,10.0,5,0,0
129,6.1,0.38,0.15,0.072,19.0,0.9955,0.57,9.4,5,0,0
1034,8.9,0.745,0.18,0.077,48.0,0.99739,0.47,9.7,6,0,1
806,8.4,0.25,0.39,0.041,10.0,0.99386,0.71,12.5,7,1,0
617,11.5,0.31,0.51,0.079,28.0,0.9982,0.93,9.8,6,0,0
263,7.9,0.37,0.23,0.077,49.0,0.9963,0.67,9.3,5,0,0
1576,8.0,0.3,0.63,0.081,29.0,0.99588,0.78,10.8,6,0,0
1539,7.2,0.39,0.32,0.065,60.0,0.99714,0.78,9.9,5,0,0
1518,7.4,0.47,0.46,0.114,20.0,0.99647,0.63,10.5,5,0,0
544,14.3,0.31,0.74,0.075,15.0,1.0008,0.79,8.4,6,0,0
508,10.0,0.59,0.31,0.09,62.0,0.9994,0.63,10.2,6,0,0
1415,6.2,0.58,0.0,0.065,18.0,0.9966,0.84,9.4,5,0,0
1446,6.9,0.63,0.02,0.078,30.0,0.99712,0.75,9.8,5,0,1
270,7.9,0.545,0.06,0.087,61.0,0.9965,0.67,10.7,6,0,0
920,9.6,0.41,0.37,0.091,23.0,0.99786,0.56,10.5,5,0,0
109,8.1,0.785,0.52,0.122,153.0,0.9969,0.69,9.3,5,0,1
815,10.8,0.45,0.33,0.099,38.0,0.99818,0.71,10.8,5,0,0
71,7.7,0.67,0.23,0.088,96.0,0.9962,0.48,9.5,5,0,1
694,9.0,0.47,0.31,0.084,125.0,0.9984,0.61,9.4,5,0,0
228,7.7,0.43,0.25,0.073,63.0,0.99615,0.58,10.5,6,0,0
1142,6.9,0.45,0.11,0.043,12.0,0.99354,0.65,11.4,6,0,0
486,10.2,0.67,0.39,0.054,17.0,0.9976,0.47,10.0,5,0,1
1028,7.2,0.34,0.21,0.075,68.0,0.99586,0.54,10.1,6,0,0
545,9.1,0.47,0.49,0.094,106.0,0.9982,0.59,9.1,5,0,0
1514,6.9,0.84,0.21,0.074,65.0,0.99842,0.72,9.23333333333333,6,0,1
1276,8.5,0.4,0.4,0.05,10.0,0.99566,0.56,12.0,4,1,0
204,7.0,0.43,0.36,0.089,37.0,0.99615,0.56,9.2,6,0,0
591,6.6,0.39,0.49,0.07,149.0,0.9922,0.5,11.5,6,0,0
1130,9.1,0.6,0.0,0.058,10.0,0.9977,0.63,10.4,6,0,1
298,7.2,0.65,0.02,0.094,31.0,0.9993,0.8,9.7,5,0,1
261,7.0,0.975,0.04,0.087,67.0,0.99565,0.6,9.4,4,0,1
191,6.4,0.37,0.25,0.074,49.0,0.9974,0.62,9.8,6,0,0
460,9.2,0.43,0.52,0.083,23.0,0.9976,0.61,11.3,6,0,0
1591,5.4,0.74,0.09,0.089,26.0,0.99402,0.56,11.6,6,1,1
352,7.7,0.665,0.0,0.09,19.0,0.9974,0.73,9.3,5,0,1
1311,6.5,0.51,0.15,0.064,27.0,0.9929,0.59,12.8,6,1,0
79,8.3,0.625,0.2,0.08,119.0,0.9972,1.12,9.1,4,0,1
785,9.9,0.35,0.41,0.083,61.0,0.9982,0.5,9.5,5,0,0
1201,7.9,0.34,0.36,0.065,10.0,0.99419,0.54,11.2,7,0,0
1141,8.2,0.38,0.32,0.08,71.0,0.99624,0.85,11.0,6,0,0
1275,8.0,0.715,0.22,0.075,81.0,0.99688,0.54,9.5,6,0,1
155,7.1,0.43,0.42,0.071,128.0,0.9973,0.71,10.5,5,0,0
820,7.0,0.685,0.0,0.099,22.0,0.99606,0.6,9.7,5,0,1
28,7.1,0.71,0.0,0.08,35.0,0.9972,0.55,9.4,5,0,1
1366,7.3,0.74,0.08,0.094,45.0,0.99576,0.5,9.8,5,0,1
985,7.4,0.58,0.0,0.064,11.0,0.99562,0.58,11.3,6,0,0
453,10.4,0.33,0.63,0.084,22.0,0.9998,0.74,11.2,7,0,0
477,10.4,0.24,0.49,0.075,20.0,0.9977,1.06,11.0,6,0,0
722,7.6,0.42,0.08,0.084,48.0,0.9968,0.59,10.0,5,0,0
1527,7.1,0.53,0.07,0.071,24.0,0.9951,0.66,10.8,6,0,0
374,14.0,0.41,0.63,0.089,47.0,1.0014,0.81,10.8,6,0,0
1230,7.7,0.18,0.34,0.066,58.0,0.9947,0.78,11.8,6,1,0
1538,6.2,0.64,0.09,0.081,26.0,0.99538,0.63,12.0,5,1,1
309,7.4,0.29,0.38,0.062,30.0,0.9968,0.53,9.5,6,0,0
518,10.9,0.21,0.49,0.088,32.0,0.9972,0.68,11.7,6,1,0
186,7.4,0.39,0.48,0.082,67.0,0.9972,0.55,9.2,5,0,0
742,6.5,0.615,0.0,0.065,18.0,0.9972,0.65,9.2,5,0,1
90,7.9,0.52,0.26,0.079,140.0,0.9964,0.54,9.5,5,0,0
95,4.7,0.6,0.17,0.058,106.0,0.9932,0.6,12.9,6,1,1
342,10.9,0.39,0.47,0.118,14.0,0.9982,0.75,9.8,6,0,0
1450,7.2,0.37,0.32,0.062,28.0,0.9947,0.73,11.3,7,0,0
1458,8.4,0.29,0.4,0.067,20.0,0.99603,0.6,10.5,5,0,0
242,7.7,0.58,0.1,0.102,109.0,0.99565,0.49,9.8,6,0,0
16,8.5,0.28,0.56,0.092,103.0,0.9969,0.75,10.5,7,0,0
1344,11.5,0.42,0.48,0.077,20.0,0.99852,0.53,11.0,5,0,0
1195,6.2,0.43,0.22,0.078,56.0,0.99633,0.6,9.5,6,0,0
406,9.8,0.44,0.47,0.063,28.0,0.9981,0.65,10.8,6,0,0
1188,6.7,0.64,0.23,0.08,119.0,0.99538,0.7,10.9,5,0,1
305,10.3,0.53,0.48,0.063,25.0,0.9998,0.59,9.3,6,0,0
156,7.1,0.43,0.42,0.07,129.0,0.9973,0.72,10.5,5,0,0
412,7.1,0.735,0.16,0.1,77.0,0.9966,0.64,9.3,5,0,1
295,10.8,0.5,0.46,0.073,27.0,1.0001,0.64,9.5,5,0,0
1506,6.8,0.81,0.05,0.07,14.0,0.99562,0.66,10.8,6,0,1
1286,7.1,0.16,0.44,0.068,31.0,0.99328,0.54,12.4,6,1,0
779,7.1,0.52,0.03,0.076,92.0,0.99745,0.6,9.8,5,0,0
319,9.6,0.77,0.12,0.082,74.0,0.99865,0.64,10.4,6,0,1
373,7.4,0.55,0.22,0.106,72.0,0.9959,0.63,9.2,5,0,0
1273,7.5,0.58,0.2,0.073,44.0,0.99494,0.43,9.3,5,0,0
426,6.4,0.67,0.08,0.045,48.0,0.9949,0.49,11.4,6,0,1
241,12.0,0.38,0.56,0.093,24.0,0.99925,0.71,10.9,6,0,0
1020,11.3,0.36,0.66,0.123,8.0,0.99642,0.53,11.9,6,1,0
1593,6.8,0.62,0.08,0.068,38.0,0.99651,0.82,9.5,6,0,1
474,10.5,0.28,0.51,0.08,24.0,0.9982,0.89,9.4,6,0,0
1030,7.1,0.59,0.0,0.091,14.0,0.99488,0.55,11.5,7,0,0
1381,6.8,0.83,0.09,0.074,25.0,0.99534,0.45,9.6,5,0,1
497,7.2,0.34,0.32,0.09,113.0,0.9966,0.79,11.1,5,0,0
670,6.9,0.4,0.24,0.083,45.0,0.9959,0.58,10.0,5,0,0
1045,6.9,0.44,0.0,0.07,38.0,0.99438,0.58,11.4,6,0,0
881,7.6,0.715,0.0,0.068,35.0,0.99533,0.65,11.4,6,0,1
537,8.1,0.825,0.24,0.084,13.0,0.9972,0.77,10.7,6,0,1
956,9.0,0.36,0.52,0.111,10.0,0.99568,0.62,11.3,6,0,0
470,13.0,0.32,0.65,0.093,47.0,0.9996,0.61,10.6,5,0,0
256,9.4,0.34,0.37,0.075,13.0,0.998,0.62,9.2,5,0,0
118,8.8,0.55,0.04,0.119,56.0,0.9962,0.6,10.9,6,0,0
66,7.5,0.52,0.11,0.079,39.0,0.9968,0.58,9.6,5,0,0
725,9.0,0.66,0.17,0.077,13.0,0.9976,0.55,10.4,5,0,1
230,5.2,0.48,0.04,0.054,106.0,0.9927,0.62,12.2,7,1,0
303,7.4,0.67,0.12,0.186,21.0,0.996,0.54,9.5,5,0,1
1161,8.8,0.45,0.43,0.076,21.0,0.99551,0.75,10.2,6,0,0
24,6.9,0.4,0.14,0.085,40.0,0.9968,0.63,9.7,6,0,0
433,12.3,0.39,0.63,0.091,18.0,1.0004,0.49,9.5,5,0,0
